150	   1	     12.309	      12.23	      12.23	      12.23
150	   2	     6.1543	     6.0754	     6.0754	     6.0754
150	   3	     4.1029	     4.0235	     4.0235	     4.0235
150	   4	     3.0772	     2.9974	     2.9974	     2.9974
150	   5	     2.4617	     2.3815	     2.3815	     2.3815
150	   6	     2.0514	     1.9707	     1.9707	     1.9707
150	   7	     1.7584	     1.6772	     1.6772	     1.6772
150	   8	     1.5386	     1.4569	     1.4569	     1.4569
150	   9	     1.3676	     1.2854	     1.2854	     1.2854
150	  10	     1.2309	     1.1481	     1.1481	     1.1481
150	  11	      1.119	     1.0357	     1.0357	     1.0357
150	  12	     1.0257	    0.94192	    0.94192	    0.94192
150	  13	    0.94682	    0.86245	    0.86245	    0.86245
150	  14	    0.87919	    0.79424	    0.79424	    0.79424
150	  15	    0.82058	    0.73503	    0.73503	    0.73503
150	  16	    0.76929	    0.68313	    0.68313	    0.68313
150	  17	    0.72404	    0.63724	    0.63724	    0.63724
150	  18	    0.68381	    0.59636	    0.59636	    0.59636
150	  19	    0.64782	    0.55969	    0.55969	    0.55969
150	  20	    0.61543	    0.52659	    0.52659	    0.52659
150	  21	    0.58613	    0.49656	    0.49656	    0.49656
150	  22	    0.55949	    0.46916	    0.46916	    0.46916
150	  23	    0.53516	    0.44405	    0.44405	    0.44405
150	  24	    0.51286	    0.42093	    0.42093	    0.42093
150	  25	    0.49235	    0.39956	    0.39956	    0.39956
150	  26	    0.47341	    0.37973	    0.37973	    0.37973
150	  27	    0.45588	    0.36127	    0.36127	    0.36127
150	  28	     0.4396	    0.34401	    0.34401	    0.34401
150	  29	    0.42444	    0.32782	    0.32782	    0.32782
150	  30	    0.41029	    0.31259	    0.31259	    0.31259
150	  31	    0.39705	    0.29821	    0.29821	    0.29821
150	  32	    0.38465	    0.28459	    0.28459	    0.28459
150	  33	    0.37299	    0.27164	    0.27164	    0.27164
150	  34	    0.36202	    0.25929	    0.25929	    0.25929
150	  35	    0.35168	    0.24746	    0.24746	    0.24746
150	  36	    0.34191	    0.23609	    0.23609	    0.23609
150	  37	    0.33267	    0.22511	    0.22511	    0.22511
150	  38	    0.32391	    0.21445	    0.21445	    0.21445
150	  39	    0.31561	    0.20403	    0.20403	    0.20403
150	  40	    0.30772	    0.19376	    0.19376	    0.19376
150	  41	    0.30021	    0.18355	    0.18355	    0.18355
150	  42	    0.29306	    0.17323	    0.17323	    0.17323
150	  43	    0.28625	    0.16256	    0.16256	    0.16256
150	  44	    0.27974	    0.15109	    0.15109	    0.15109
150	  45	    0.27353 	   0.076919	     0.0911	    0.13751
150	  46	    0.26758	   0.072841	   0.072841	   0.072841
150	  47	    0.26189	   0.070649	   0.070649	   0.070649
150	  48	    0.25643	   0.069085	   0.069085	   0.069085
150	  49	     0.2512	   0.067855	   0.067855	   0.067855
150	  50	    0.24617	   0.066836	   0.066836	   0.066836
150	  51	    0.24135	   0.065963	   0.065963	   0.065963
150	  52	    0.23671	   0.065198	   0.065198	   0.065198
150	  53	    0.23224	   0.064517	   0.064517	   0.064517
150	  54	    0.22794	   0.063903	   0.063903	   0.063903
150	  55	    0.22379	   0.063343	   0.063343	   0.063343
150	  56	     0.2198	   0.062829	   0.062829	   0.062829
150	  57	    0.21594	   0.062353	   0.062353	   0.062353
150	  58	    0.21222	    0.06191	    0.06191	    0.06191
150	  59	    0.20862	   0.061496	   0.061496	   0.061496
150	  60	    0.20514	   0.061108	   0.061108	   0.061108

